[26.11.2025 14:25:43] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:25:43] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:25:56] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:25:56] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:27:04] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:27:04] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:28:16] | INFO | Source:  | Message: Yeni haber eklendi: Global Lojistik Devine Fidye Yazılımı Şoku: Tedarik Zinciri Durdu
[26.11.2025 14:29:11] | INFO | Source:  | Message: Yeni haber eklendi: Android Kullanıcıları Dikkat: Yeni "GoldDigger" Truva Atı Yüz Verilerini Çalıyor
[26.11.2025 14:29:14] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:29:14] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:29:22] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:29:22] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:30:14] | INFO | Source:  | Message: Yeni haber eklendi: KVKK'dan Veri Güvenliği İçin Yeni Teknik Tedbirler Rehberi
[26.11.2025 14:30:15] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:30:15] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:30:34] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:30:34] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:32:56] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:32:56] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:33:12] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:33:12] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:33:22] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 14:33:22] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:33:44] | INFO | Source:  | Message: Aktif Kategoriler başarıyla getirildi.
[26.11.2025 14:33:44] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 14:44:22] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
[26.11.2025 15:18:31] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 15:18:32] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:19:40] | INFO | Source:  | Message: Aktif Kategoriler başarıyla getirildi.
[26.11.2025 15:19:40] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:19:41] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 15:19:41] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:19:44] | INFO | Source:  | Message: Aktif Kategoriler başarıyla getirildi.
[26.11.2025 15:19:44] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:19:53] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:19:57] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
[26.11.2025 15:22:17] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
[26.11.2025 15:27:46] | INFO | Source:  | Message: SP (GetCategoryProjectCounts) başarıyla çalıştırıldı.
[26.11.2025 15:28:09] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 15:28:09] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:28:36] | INFO | Source:  | Message: Aktif Slider listesi başarıyla getirildi.
[26.11.2025 15:28:36] | INFO | Source:  | Message: Aktif çalışmalar (kategorileriyle) başarıyla listelendi.
[26.11.2025 15:29:35] | INFO | Source:  | Message: Yeni hizmet eklendi: Sızma Testi (Pentest)
